OBJECTID,STATION_KEY,DECIMAL_LAT,DECIMAL_LONG,HUC12,HUC10,HUC8,HUC6,HUType
4022,34052,45.380000000000003,-122.611000000000000,170900120104,1709001201,17090012,170900,S
4023,34051,45.770015000000001,-122.770895000000000,170800030200,1708000302,17080003,170800,W
4024,34050,45.127800000000001,-123.052200000000000,170900070304,1709000703,17090007,170900,S
4025,34049,43.636670000000002,-116.270219999999990,170501140404,1705011404,17050114,170501,S
4026,34047,43.787190000000002,-116.959630000000000,170501140704,1705011407,17050114,170501,S
4027,34046,43.577640000000002,-116.177730000000000,170501140403,1705011404,17050114,170501,S
4028,34045,44.070399999999999,-121.300700000000010,170703010801,1707030108,17070301,170703,S
4029,34044,44.070399999999999,-121.300700000000010,170703010801,1707030108,17070301,170703,S
4030,34043,45.649999999999999,-121.516000000000010,170701050701,1707010507,17070105,170701,S
4031,34042,45.230800000000002,-123.198400000000010,170900080606,1709000806,17090008,170900,S
4032,34041,45.253799999999998,-123.201300000000000,170900080607,1709000806,17090008,170900,S
4033,34040,45.555100000000003,-122.720200000000010,170900120202,1709001202,17090012,170900,M
4034,34039,45.291800000000002,-123.189700000000000,170900080608,1709000806,17090008,170900,S
4035,34038,45.229799999999997,-123.319200000000000,170900080606,1709000806,17090008,170900,S
4036,34037,45.265999999999998,-123.222600000000000,170900080607,1709000806,17090008,170900,S
4037,34036,45.323200000000000,-123.191700000000000,170900080608,1709000806,17090008,170900,S
4038,34035,45.337699999999998,-123.217900000000000,170900080604,1709000806,17090008,170900,S
4039,34034,44.065199999999997,-121.326600000000000,170703010406,1707030104,17070301,170703,S
4040,34033,44.308450000000001,-120.867790000000000,170703051002,1707030510,17070305,170703,S
4041,34032,44.308880000000002,-120.868290000000000,170703051002,1707030510,17070305,170703,S
4042,34031,43.601332999999997,-116.347261000000000,170501140205,1705011402,17050114,170501,S
4043,34030,42.382970000000000,-122.370320000000010,171003070801,1710030708,17100307,171003,S
4044,34029,42.381880000000002,-122.771100000000000,171003070811,1710030708,17100307,171003,S
4045,34028,44.731099999999998,-123.163799999999990,170900030512,1709000305,17090003,170900,S
4046,34027,44.729799999999997,-123.163400000000000,170900030511,1709000305,17090003,170900,S
4047,34026,42.547919999999998,-122.571530000000000,171003070404,1710030704,17100307,171003,S
4048,34025,45.652679999999997,-118.827190000000000,170701030408,1707010304,17070103,170701,S
4049,34024,45.419600000000003,-122.555620000000000,170900120102,1709001201,17090012,170900,S
4050,34023,42.548369999999998,-122.572290000000000,171003070404,1710030704,17100307,171003,S
4051,34022,42.548369999999998,-122.572250000000000,171003070404,1710030704,17100307,171003,S
4052,34021,42.343879999999999,-123.333280000000000,171003090601,1710030906,17100309,171003,S
4053,34020,42.343670000000003,-123.332809999999990,171003090601,1710030906,17100309,171003,S
4054,34019,45.988999999999997,-123.337800000000000,171002020205,1710020202,17100202,171002,S
4055,34018,45.419460000000001,-122.555780000000000,170900120102,1709001201,17090012,170900,S
4056,34017,44.542800000000000,-122.924899999999990,170900030610,1709000306,17090003,170900,S
4057,34016,44.134200000000000,-123.096900000000010,170900030601,1709000306,17090003,170900,S
4058,34015,44.186700000000002,-123.280800000000000,170900030109,1709000301,17090003,170900,S
4059,34014,44.296999999999997,-123.014200000000000,170900030607,1709000306,17090003,170900,S
4060,34013,44.318600000000004,-123.328999999999990,170900030208,1709000302,17090003,170900,S
4061,34012,44.600700000000003,-123.219600000000000,170900030609,1709000306,17090003,170900,S
4062,34011,44.468400000000003,-123.404500000000000,170900030209,1709000302,17090003,170900,S
4063,34010,44.564300000000003,-123.153300000000000,170900030403,1709000304,17090003,170900,S
4064,34009,44.176499999999997,-123.114999999999990,170900030602,1709000306,17090003,170900,S
4065,34008,44.180700000000002,-123.177899999999990,170900030603,1709000306,17090003,170900,S
4066,34007,44.134799999999998,-123.091600000000000,170900030601,1709000306,17090003,170900,S
4067,34006,44.276800000000001,-123.207800000000010,170900030603,1709000306,17090003,170900,S
4068,34005,42.427399999999999,-122.868300000000000,171003080202,1710030802,17100308,171003,S
4069,34004,44.262099999999997,-123.140900000000000,170900030604,1709000306,17090003,170900,S
4070,34003,44.384700000000002,-122.933500000000000,170900030305,1709000303,17090003,170900,M
4071,34002,44.189500000000002,-123.278400000000000,170900030109,1709000301,17090003,170900,S
4072,34001,44.481699999999996,-124.032799999999990,171002050501,1710020505,17100205,171002,S
4073,34000,44.488799999999998,-124.034899999999990,171002050501,1710020505,17100205,171002,S
4074,33999,44.526150000000001,-123.936650000000000,171002050501,1710020505,17100205,171002,S
4075,33998,44.503500000000003,-123.999600000000000,171002050501,1710020505,17100205,171002,S
